ג'ימקאנה
עונת 2013 - מנחת דלתון - 28-06-2013

הנעה 4x4
מקום,מספר,שם,הקפה 2,הקפה 3,הקפה 4,זמן,פער,עונשין
1,43,בקשי אמיר,56.699,56.977,,56.699,,
2,44,ששון שירן,59.196,,58.272,58.272,1.573,
3,14,אלישקוב סימון,1:01.027,1:02.109,58.709,58.709,2.010,
4,41,אלישקוב פיני,1:00.813,59.551,1:01.795,59.551,2.852,
5,39,בובליב אלכסנדר,1:03.741,1:00.046,1:03.540,1:00.046,3.347,
6,36,יריצ'ובר פנחס,,1:02.035,1:00.495,1:00.495,3.796,
7,42,קאופמן ערן,1:01.247,,,1:01.247,4.548,
8,37,קוימגדסקי אורי,1:03.468,1:02.642,,1:02.642,5.943,
לא התחיל - הקפה 2 - DNS
,40,כהן חגי,,,,,,
נפסל - הקפה 2 - DSQ
,35,גולברג סטס,,,,,,
,36,יריצ'ובר פנחס,,1:02.035,1:00.495,,,
לא התחיל - הקפה 3 - DNS
,40,כהן חגי,,,,,,
נפסל - הקפה 3 - DSQ
,35,גולברג סטס,,,,,,
,42,קאופמן ערן,1:01.247,,,,,
,44,ששון שירן,59.196,,58.272,,,
לא התחיל - הקפה 4 - DNS
,40,כהן חגי,,,,,,
נפסל - הקפה 4 - DSQ
,35,גולברג סטס,,,,,,
,37,קוימגדסקי אורי,1:03.468,1:02.642,,,,
,42,קאופמן ערן,1:01.247,,,,,
,43,בקשי אמיר,56.699,56.977,,,,
הנעה אחורית
מקום,מספר,שם,הקפה 2,הקפה 3,הקפה 4,זמן,פער,עונשין
1,32,ציקו ג'אן,59.170,59.146,58.577,58.577,,
2,30,שריג יגאל,1:01.096,59.409,,59.409,0.832,
3,38,קרונין גידי,1:22.165,,59.834,59.834,1.257,
4,34,שביב שלומי,1:00.169,,,1:00.169,1.592,
5,33,סהר אורי,1:01.630,1:04.022,1:00.465,1:00.465,1.888,
6,27,ליפובסקי לייב,,1:03.796,1:04.643,1:03.796,5.219,
7,29,סאסי פיליפ,,1:07.016,1:03.894,1:03.894,5.317,
8,31,אלגזי שחר,1:04.150,1:06.926,1:05.471,1:04.150,5.573,
9,25,אזנשטיין אורי,,1:06.840,,1:06.840,8.263,
10,28,דויטש עירד,,1:08.936,1:09.495,1:08.936,10.359,
11,26,ברמן גיא,1:10.847,1:09.862,1:08.948,1:08.948,10.371,
נפסל - הקפה 2 - DSQ
,25,אזנשטיין אורי,,1:06.840,,,,
,27,ליפובסקי לייב,,1:03.796,1:04.643,,,
,28,דויטש עירד,,1:08.936,1:09.495,,,
,29,סאסי פיליפ,,1:07.016,1:03.894,,,
לא סיים - הקפה 3 - DNF
,38,קרונין גידי,1:22.165,,59.834,,,
נפסל - הקפה 3 - DSQ
,34,שביב שלומי,1:00.169,,,,,
נפסל - הקפה 4 - DSQ
,25,אזנשטיין אורי,,1:06.840,,,,
,30,שריג יגאל,1:01.096,59.409,,,,
,34,שביב שלומי,1:00.169,,,,,
הנעה קדמית
מקום,מספר,שם,הקפה 2,הקפה 3,הקפה 4,זמן,פער,עונשין
1,21,פארן חגי,1:02.057,58.967,57.862,57.862,,
2,18,לוי חן,1:00.692,59.016,58.317,58.317,0.455,
3,22,כהן קובי,59.379,59.474,59.452,59.379,1.517,
4,23,שקורי קובי,1:05.215,1:04.249,59.987,59.987,2.125,
5,24,ירון נדב,,1:00.776,1:00.131,1:00.131,2.269,
6,20,אליאסי לירון,1:01.478,1:00.619,1:00.291,1:00.291,2.429,
7,16,רוזין פיליפ,1:01.462,1:00.925,1:00.789,1:00.789,2.927,
8,5,ריימונד משה,1:02.823,1:02.239,1:01.358,1:01.358,3.496,
9,8,אלחנטי נדב,1:01.899,1:01.588,1:01.438,1:01.438,3.576,
10,2,נער דקל שמואל,1:02.845,1:02.718,1:02.030,1:02.030,4.168,
11,7,פריאוברג'נסקי יוני,1:02.693,1:02.110,1:04.679,1:02.110,4.248,
12,1,סוריאנו אורן,1:04.526,,1:02.395,1:02.395,4.533,
13,19,תייר ירון,1:02.946,1:03.308,1:17.205,1:02.946,5.084,
14,10,ברוורמן מיכאל,1:04.294,1:03.038,1:05.583,1:03.038,5.176,
15,13,מלחי נועם,,1:03.499,1:04.843,1:03.499,5.637,
16,17,אברג'יל עידן,1:06.486,1:04.515,1:03.600,1:03.600,5.738,
17,15,רשקובן מיכאל,1:04.955,1:05.338,,1:04.955,7.093,
18,9,כרמי איל,,,1:05.510,1:05.510,7.648,
19,4,כהן יואל,1:05.663,1:07.190,1:06.729,1:05.663,7.801,
20,11,חכימי ליאור,,,1:07.196,1:07.196,9.334,
21,6,אנגלברג מרוין,,,1:08.648,1:08.648,10.786,
נפסל - הקפה 2 - DSQ
,3,דויטש אלפרד,,,,,,
,6,אנגלברג מרוין,,,1:08.648,,,
,9,כרמי איל,,,1:05.510,,,
,11,חכימי ליאור,,,1:07.196,,,
,12,ברויטמן מיכל,,,,,,
,13,מלחי נועם,,1:03.499,1:04.843,,,
,24,ירון נדב,,1:00.776,1:00.131,,,
נפסל - הקפה 3 - DSQ
,1,סוריאנו אורן,1:04.526,,1:02.395,,,
,3,דויטש אלפרד,,,,,,
,6,אנגלברג מרוין,,,1:08.648,,,
,9,כרמי איל,,,1:05.510,,,
,11,חכימי ליאור,,,1:07.196,,,
,12,ברויטמן מיכל,,,,,,
נפסל - הקפה 4 - DSQ
,3,דויטש אלפרד,,,,,,
,12,ברויטמן מיכל,,,,,,
,15,רשקובן מיכאל,1:04.955,1:05.338,,,,
פתוחה
מקום,מספר,שם,הקפה 2,הקפה 3,הקפה 4,זמן,פער,עונשין
1,49,עמודי גיא,1:00.268,55.670,56.388,55.670,,
2,51,נתן מוטי,1:01.278,56.398,56.590,56.398,0.728,
3,45,ניאזוב מיכאל,1:05.816,1:00.817,58.760,58.760,3.090,
4,50,גומר ערן,,,59.570,59.570,3.900,
5,48,קאשי עופר,59.794,59.810,1:02.924,59.794,4.124,
6,46,זילברמן אריה,1:00.645,1:01.293,1:03.993,1:00.645,4.975,
7,47,שטבינסקי חן,,,1:03.427,1:03.427,7.757,
נפסל - הקפה 2 - DSQ
,47,שטבינסקי חן,,,1:03.427,,,
,50,גומר ערן,,,59.570,,,
לא התחיל - הקפה 3 - DNS
,47,שטבינסקי חן,,,1:03.427,,,
נפסל - הקפה 3 - DSQ
,50,גומר ערן,,,59.570,,,

© כל הזכויות שמורות לתנועה מדידת זמנים
